Date, Image file, Reg, Confidence, Notes,, 
2017-11-23 10:29:21,  sampledata/IMG_2567.jpg,      LG63BP0	 , 87.3376,, 
2017-11-23 10:29:22,  sampledata/name-car.jpg,      SUT70N	 , 88.4395,, 
2017-11-23 10:29:21,  sampledata/IMG_2564.jpg,      DK58XUP	 , 90.1702,, 
2017-11-23 10:29:21,  sampledata/IMG_2363.jpg,  ,, No license plates found.,, 
2017-11-23 10:29:21,  sampledata/IMG_0843.jpg,  ,, No license plates found.,, 
2017-11-23 10:29:21,  sampledata/IMG_2747.jpg,  ,, No license plates found.,, 
